 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
80034,198801,1201-1800,STL,MO,,2,,2000,,VMC,,,Daylight,,,TRACON STL; Tower STL,Military,Fighter,,1,,IFR,Training,,Climb; Landing; Other Pattern,Vectors,Class B STL; Class D STL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporate,Small Transport; Low Wing; 2 Recip Eng,,,,,Passenger,,Descent; Descent; Initial Approach; Other Pattern,Vectors,,,,,,,,,,,,,,,,,,,,,,,,,,,Government,Local,Air Traffic Control Fully Certified,,,,,,80034,,,,,,,,,,,,ATC Issue All Types; Conflict Airborne Conflict,Vertical 0,,Person Air Traffic Control,,Air Traffic Control Issued New Clearance; Flight Crew Executed Go Around / Missed Approach; General None Reported / Taken,,Human Factors,"ACFT X ON FINAL FOR RWY 30L (FLT OF 2) MISSED APCH 3/4 MI FINAL. TWR HAD DEP TFC OFF THE LEFT RWY AND RIGHT RWY. TWR ISSUED STANDARD MISSED APCH ALT OF 2500' MSL AND A TURN TO HDG 350 DEGS TO AVOID DEP TFC. THE CC INSTRUCTED LCL CTL TO CHANGE THE MISSED APCH TO APCH. LCL CTL COMPLIED. THE LOW ALT CTLR HAD GA TWIN Y FOR RWY 24 TURNING FINAL AT 2000'. THE X FLT LEVELED AT 2500' AND TURNED SHARPLY TO HDG 350 DEGS. DUE TO THE SHARP TURN; THE FLT WAS ON A PATH CONVERGING ON THE ARRIVING ACFT Y. VISUAL SEP WAS OBTAINED FROM ACFT Y. THE FLT FLEW 500' ABOVE Y. W/O THE VISUAL SEP; THERE WAS NO IFR SEP. STL IS ALREADY RE-EVALUATING THE STANDARD 2500' MISSED APCH ALT AND LOOKING AT UTILIZING 3000' TO INSURE THE 1000' NECESSARY FOR IFR SEP.",,,,"LESS THAN STANDARD SEPARATION BETWEEN FLT OF 2 FGT ACFT AND GA-TWIN ON APCH.",
80036,198801,1801-2400,MDSD,FO,,95,,22000,,,,,Dusk,,,Center ZSU; Center MDSD,Corporate,Small Transport; Low Wing; 2 Turbojet Eng,,2,,IFR,Passenger,,Cruise; Cruise,Oceanic; Airway ZSU; Airway MDSD,Class E MDSD; Class E ZSU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government,Enroute,Air Traffic Control Fully Certified,Air Traffic Control Non Radar 4; Air Traffic Control Radar 1,,,,,80036,,,,Enroute,Air Traffic Control Fully Certified,,,,,,,Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Other / Unknown; Deviation / Discrepancy - Procedural Published Material / Policy; Other Airspace Violation Entry or Exit,,,Person Air Traffic Control,,General None Reported / Taken,,Human Factors,"SMT X ON IFR FLT PLAN CLRD TO MDSD VIA; 'RADAR VECTORS G-3 MELLA G-3 MDSD.' ACFT DEPARTED AND THE DEP CTLR ISSUED; 'PROCEED DIR BQN ON COURSE.' BQN WAS NOT ON THE ACFT ROUTE OF FLT. I; AS THE CENTER CTLR; TOOK THE HANDOFF BUT DUE TO OUR FDRS PROB I DID NOT HAVE THE FLT STRIP AND BY THE COORD WITH THE DEP CTLR I KNEW THAT THE ACFT WAS GOING BQN ON COURSE. I ASSIGNED THE ACFT FL220 AND WENT TO TAKE CARE OF OTHER ACFT THAT NEEDED MY ATTN. THE ACFT WAS W OF BQN GOING TOWARD MELLA LEVEL AT FL220. I LOOKED AT THE BAY; AND HIS STRIP WAS THERE COORDINATED AT FL220. I TERMINATED RADAR SVC WITH THE ACFT; SWITCHED ACFT TO MDSD ABOUT 20 MI INSIDE SJU AIRSPACE. A FEW MINS LATER MDSD CALLED SAYING THAT THE ACFT HAD NOT SHOWN UP AT MELLA BUT 15 MI TO THE N. THESE I BELIEVE WERE CONTRIBUTING FACTORS: THE ACFT ORIGINALLY FILED SJU B520 BQN B520 MDSD. CLRNC DELIVERY CHANGED HIS ROUTE TO G-3 MELLA G-3 MDSD. DEP CTLR GAVE ACFT; 'DIR BQN ON COURSE.' BQN WAS NOT ON HIS CLRNC. I; AS CENTER CTLR DID NOT HAVE A FLT STRIP ON ACFT BECAUSE OUR FDRS SYS HAS NOT BEEN PRINTING STRIPS CORRECTLY FOR THE LAST 3 WKS. THIS MEANS THE D CTLR HAS TO REQUEST EVERY STRIP HE NEEDS MANUALLY AND HAS TO WAIT FOR THAT STRIP TO BE FINISHED PRINTING BEFORE HE CAN REQUEST ANOTHER. THE PLT ASSUMED THAT AFTER BQN HE WAS TO GO DIR MDSD EVEN THOUGH HIS CLRNC DID NOT HAVE BQN ON IT.",,,,"ACFT CLEARED INTO ADJACENT AIRSPACE ON A ROUTE THAT WAS CONTRARY TO PREFERRED ROUTE REQUIRED IN LETTER OF AGREEMENT.",
80077,198801,1201-1800,GRB,WI,275,,,7000,,VMC,,,Daylight,,,Center CZYZ; Center ZMP,Air Carrier,Large Transport; Low Wing; 3 Turbojet Eng,,3,,IFR,Passenger,,Cruise; Cruise,STAR STAR,Class A ZMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Carrier,Pilot Flying; First Officer,Flight Crew Air Transport Pilot (ATP); Flight Crew Flight Engineer; Flight Crew Instrument,Flight Crew Last 90 Days 90; Flight Crew Total 6000,,,,,80077,,,,Captain,Flight Crew Air Transport Pilot (ATP),,,,,,,Other Unspecified,,,Person Flight Crew,,,,Human Factors,"THE TRANSFER FROM TORONTO CENTER TO MINNEAPOLIS CENTER WAS MISSED OR NOT GIVEN WITHIN OUR RADIO RANGE OR NOT GIVEN AT ALL BY TORONTO CENTER. THE CAPT REMAINED BUSY WRITING CRITIQUES OF PREVIOUS LEGS FOR SUBMISSION TO THE COMPANY AND HAD BEEN PREOCCUPIED AND MISSED SEVERAL OTHER RADIO CALLS. I DELAYED LEAVING THE COCKPIT AS LONG AS POSSIBLE TO ALLOW HIM TO FINISH HIS WRITING. FINALLY PASSING GREEN BAY I INFORMED HIM I HAD TO GO AFT AND USE THE FACILITIES PRIOR TO DES. I WAS GONE SEVERAL MINS SINCE SOMEONE WAS USING THE LAV. UPON MY RETURN HE SAID ALL WAS THE SAME. THIS CAPT WAS PARTICULARLY AUTOCRATIC AND THERE HAD BEEN QUITE A BIT OF TENSION IN THE COCKPIT. HE HAD SPENT MUCH OF THE TRIP DOING THE S/O'S AND MY JOB. FINALLY PASSING JUDAS I ASKED IF WE HADN'T RECEIVED DES CLRNC. HE SAID NO. I PERSISTED AND ASKED IF WE SHOULDN'T INQUIRE WITH MSP CENTER. HE FINALLY ACQUIESCED; ONLY TO FIND HE HAD MISSED THE CENTER HANDOFF. WE FINALLY RE-ESTABLISHED CONTACT WITH MSP CENTER AT BITLR (MSP 086 DEG RADIAL APPROX 38 DME) INTXN. WE WERE CLRD TO 7000' MSL FROM FL310 W/O FURTHER INCIDENT AND LANDED NORMALLY BUT RUSHED. THIS INCIDENT CLRLY SHOWED THE LACK OF LEADERSHIP BY A CAPT CAN DETERIORATE A CREW'S PERFORMANCE. MY COMPANY NEEDS TO ESTABLISH A COURSE FOR COCKPIT CREWS ON RESOURCE MGMNT. THIS CAPT DID EVERYBODY ELSE'S JOB INCLUDING THE F/A'S AND THAT AFFECTED THE PROFESSIONALISM OF THE REST OF THE CREW. WE LEFT HIM TO FLOUNDER TO AVOID ANY FURTHER LECTURES INSTEAD OF MAINTAINING PROFESSIONAL VIGILANCE.",,,,"MISSED FREQ CHANGE AND WAS DELAYED IN BEGINNING DESCENT. NO CONFLICT.",
80082,198801,1201-1800,BOS,MA,,,0,,,IMC,.5,,Daylight,200,,Tower BOS,Air Carrier,Medium Large Transport; Low Wing; 2 Turbojet Eng,,2,,IFR,Passenger,,Landing; Landing; Parked; Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Carrier,Pilot Flying; Captain,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 230; Flight Crew Total 10000,,,,,80082,,,,Ground,Air Traffic Control Fully Certified,,,,,,,Other No Specific Anomaly Occurred,,,,,,Airport; Procedure,Human Factors,"ATIS AND ARPT/RWY CONDITION BROADCAST WAS GIVING GOOD BRAKING REPORTS AS REPORTED BY A VEHICLE WHEN; IN FACT; PLTS CONSISTENTLY WERE REPORTING POOR BRAKING ON RWY 4R AND ON TAXIWAYS. THIS CONTINUED FOR 1 1/2 HOURS AND WAS STILL OCCURRING WHEN I LEFT ARPT. YOU'D THINK THAT LOGAN HAS LEARNED THIS LESSON!!! SOMEONE HAS TO STOP THIS!",,,,"ERRONEOUS BRAKING ACTION REPORTED AT BOS BY BOTH ATIS AND ARPT CONDITION BROADCAST. ERRONEOUS REPORT CONTINUED FOR ONE AND ONE HALF HOURS EVEN THOUGH MOST LNDG ACFT GAVE THE TWR A REPORT OF POOR BRAKING. TWR ADVISED THE REPORTER THAT THE BRAKING ACTION REPORT WAS THE RESPONSIBILITY OF ARPT MANAGEMENT AND THAT THEY DID NOT CONTROL THIS REPORT.",
80094,198801,0601-1200,ORD,IL,,100,,22000,,VMC,,,Daylight,,,Center ZAU,Air Carrier,Medium Large Transport; Low Wing; 2 Turbojet Eng,,2,,IFR,Passenger,,Cruise; Cruise; Climb,,Class A ZAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Carrier,Captain,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 208; Flight Crew Total 14600; Flight Crew Type 7200,,,,,80094,,,Air Carrier,Pilot Flying; First Officer,Flight Crew Air Transport Pilot (ATP),,,,,,79963,Aircraft Equipment Problem Critical,,,Automation Aircraft Other Automation,,Aircraft Equipment Problem Dissipated; General Declared Emergency,,Aircraft,"JUST AFTER LEVEL OFF AT CRS; CABIN BEGAN TO CLB AT APPROX 3000 FPM. AUTO FAIL AND STAND BY LIGHTS CAME ON. PRESSURE CTLR SET TO MANUAL. AC AND DC AND GND WERE SELECTED AND USED. VALVE INDICATOR SHOWED CLOSED ENTIRE TIME. PACKS SWITCHED TO HIGH-REDUCED CLB TO 1500'. DURING ABOVE CALLED ATC AND CLRD TO FL240; THEN 10000'; SO IT WAS NOT NECESSARY TO DECLARE AN EMER. EMER DES CHKLIST WAS ACCOMPLISHED. AT APPROX 22000' CABIN PRESSURE BEGAN TO RESPOND AND DES. MAX CABIN ALT WAS 15000-16000'. OXYGEN MASKS DEPLOYED AT 14000'. DISPATCH CONTACTED AND ACFT RETURNED TO ORD. BOTH PLTS SUSPECT MAX RELIEF VALVE OPENED AND DID NOT RESET. WITH PWR OF MLG THIS COULD HAPPEN MORE OFTEN WITH MORE USE OF MAX RELIEF VALVES. NO PROB WITH ANY OF THE ABOVE; OTHER THAN THE OXYGEN MASKS DEPLOYING SCARED THE PAX; AS WOULD BE EXPECTED. SUPPLEMENTAL INFORMATION FROM ACN 79963: WHEN IT WAS DETERMINED THE CABIN WAS NOT RESPONDING APPROPRIATELY AN EMER DES WAS ACCOMPLISHED. AT APPROX 22000' THE CABIN BEGAN TO DES AND WAS CTLABLE THEREAFTER. THIS WAS A LIGHT PLANE ON A COLD DAY. CRS ALT WAS REACHED WITH DIFFERENTIAL PRESSURE INDICATOR IN THE YELLOW BAND.",,,,"PRESSURIZATION CTL ON ACR MLG LOST AS ACFT REACHED CRUISE ALT OF FL350. ARTCC AMENDED ALT ASSIGNMENT TO 10000' ON REQUEST. OXYGEN MASKS DROPPED BEFORE PRESSURIZATION CTL REGAINED. ACFT RETURNED TO DEP ARPT.",
80099,198801,1201-1800,EKN,WV,180,25,,31000,,VMC,,,Daylight,,,Center ZDC,Air Carrier,Medium Large Transport; Low Wing; 2 Turbojet Eng,,2,,IFR,Passenger,,Descent; Descent; Cruise; Cruise; Climb,,Class A ZDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Carrier,Large Transport; Low Wing; 3 Turbojet Eng,,3,,IFR,Passenger,,Cruise; Cruise,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government,Enroute,Air Traffic Control Fully Certified,Air Traffic Control Military 4; Air Traffic Control Radar 19,,,,,80099,,,Government,,Air Traffic Control Fully Certified,Air Traffic Control Radar 19,,,,,80100,ATC Issue All Types; Conflict Airborne Conflict,Horizontal 11400; Vertical 1500,,Automation Air Traffic Control; Person Air Traffic Control,,Air Traffic Control Issued New Clearance; General None Reported / Taken,,Human Factors,"TFC HEAVY AND COMPLEX. MLG X CONVERGING WITH LGT Z AT FL330. I DESCENDED MLG X TO FL290; CONFLICT ALERT WAS ACTIVATED WITH MLG X AND LGT Y AT FL310. MLG X WAS TOLD TO CLIMB IMMEDIATELY BACK TO FL330; RESULTING IN A SYSTEM ERROR OF 1500' VERTICAL AND 1.9 HORIZONTAL. AT THE SAME TIME OF THIS INCIDENT AN ACFT FLIGHT NBOUND TO PIT WAS NORAC; ANOTHER ACR FLT ALSO NBOUND TO PIT TEMPORARILY LOST HIS TRANSPONDER(THE ALL PRIMARY WAS BEING DISPLAYED); AND LGT Z HAD NOT BEEN SWITCHED OVER FROM ZID CRW-HIGH. DUE TO CONTINUOUS FREQUENCY PROBLEM I WAS TRANSMITTING ON THE EKN RCAG AND RECEIVING ON THE BUCKS ELBOW RCAG SITE. THE IMMEDIATE ALERT READOUT SHOWED A LATERAL SEPARATION OF 1.9 NM. THIS INCIDENT OCCURRED IN AN AREA OF FREQUENTLY REPORTED BEACON SPLITS. FOR SEVERAL COMPUTER UPDATES DURING THIS OCCURRENCE. THERE WERE FIVE OR MORE TARGETS IN THIS IMMEDIATE AREA. THERE MAY HAVE BEEN MORE OR LESS THAN THE 1.9 NM SEPARATION.",,,,"CTLR DESCENDED ACR MLG TO AVOID ONE ACR LGT INTO ANOTHER ACR LGT RESULTING IN LESS THAN STANDARD SEPARATION.",
80108,198801,1801-2400,ACO,OH,123,29,,10000,,VMC,,,Night,,,Center ZOB,Air Carrier,Medium Large Transport; Low Wing; 2 Turbojet Eng,,2,,IFR,Passenger,,Descent; Cruise; Descent,Airway ZOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Carrier,First Officer,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 360; Flight Crew Total 7000; Flight Crew Type 1000,,,,,80108,,,,Enroute,Air Traffic Control Fully Certified,,,,,,,Deviation - Altitude Crossing Restriction Not Met,,,Person Flight Crew,,General None Reported / Taken,,Human Factors,"WE WERE CLRD TO CROSS CUTTA AT 10000' WITH ALL PWR OFF (AT IDLE) AND SPEED BRAKES PULLED; WE WERE NOT ABLE TO CROSS CUTTA. I TOLD CLE CENTER THAT WE WOULD NOT BE ABLE TO GET TO 10000' IN TIME TO CROSS CUTTA AS PER CLRNC. THEY ADVISED US TO DO THE 'BEST WE COULD'. THIS WAS (IS) NOT A PROPER CLRNC GIVEN TO US BY ATC. WE MADE IT TO 10000 36 MI OUT INSTEAD OF 29 MI. NO CONFLICTS OF TFC. NOTHING SAID FROM CLE ATC. MY ONLY COMMENT IS ATC DID NOT GIVE A PROPER CLRNC; NOR DID THEY TELL US TO DO ANYTHING ELSE WHEN I TOLD THEM WE COULD NOT MAKE IT.",,,,"ACR MLG ALT DEVIATION CROSSING RESTRICTION NOT MET. PWR WAS AT IDLE AND SPEED BRAKES ACTIVATED AND ARTCC ADVISED.",
80111,198801,1801-2400,DQO,DE,,25,,24000,,VMC,,,Night,,,Center ZDC,Air Carrier,Large Transport; Low Wing; 3 Turbojet Eng,,3,,IFR,Passenger,,Cruise; Descent; Descent,Airway J8,Class A J8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Carrier,Pilot Flying; Captain,Flight Crew Flight Engineer; Flight Crew Commercial; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,Flight Crew Last 90 Days 75; Flight Crew Type 1500,,,,,80111,,,Air Carrier,First Officer,Flight Crew Flight Instructor; Flight Crew Flight Engineer; Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 250; Flight Crew Total 3000,,,,,80117,Deviation - Altitude Crossing Restriction Not Met; Deviation / Discrepancy - Procedural Clearance; Inflight Event / Encounter Weather / Turbulence,,,Person Flight Crew,,General None Reported / Taken,,Human Factors,"WE WERE EBND ON J-8 TO PAILS INTXN. WE HAD APPROX 150K OF TAILWIND IN CRUISE (IE; VERY HIGH GND SPD). WE WERE GIVEN CLRNC TO CROSS 25 NM W OF DUPONT VOR AT 24000'. THE CLRNC CAME VERY LATE BASED ON OUR GND SPD. WE STARTED AN IMMEDIATE DSCNT (FROM 33000') AND HAD ONLY REACHED FL310 WHEN 25 NM W OF DUPONT. CENTER WAS AWARE OF THE PROB AND GAVE US MUCH MORE ADVANCED WARNING OF FUTURE XING RESTRICTIONS. SINCE THE FLT WAS LATE IN THE EVENING AND THE WINDS HAD BEEN HIGH ALL DAY; I FEEL WE COULD HAVE BEEN GIVEN MORE ADVANCED WARNING OF THE FIRST XING RESTRICTION. I HAVE SELDOM EXPERIENCED SUCH HIGH TAILWINDS IN FLT; SO PERHAPS I COULD HAVE TOLD CENTER WE WANTED TO START DOWN EARLY OR PERHAPS TELL THEM WE WOULD HAVE A PROB GETTING TO THE XING ALT. SUPPLEMENTAL INFO FROM ACN 80117: WE WERE IN CRUISE AT FL330 WITH A 150 KT DIRECT TAILWIND AND DIDN'T PLAN OUR DSCNT CORRECTLY TO MEET ALT RESTRICTION. SUPPLEMENTAL INFO FROM ACN 80490: WE HAD A 150K TAILWIND AND DIDN'T PLAN OUR DSCNT CORRECTLY.",,,,"ACR-LGT ALT DEVIATION CROSSING RESTRICTION NOT MET.",
80113,198801,1201-1800,OME,AK,,20,,0,,VMC,,,Daylight,,,,Air Taxi,Small Transport; Low Wing; 2 Recip Eng,,1,,VFR,Passenger,,Cruise; Descent; Descent,,Class G OME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Taxi,Pilot Flying; Single Pilot,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 200; Flight Crew Total 11000,,,,,80113,,,,Single Pilot; Pilot Flying,Flight Crew Air Transport Pilot (ATP),,,,,,,Aircraft Equipment Problem Less Severe,,,Automation Aircraft Other Automation,,Flight Crew Overcame Equipment Problem,,Aircraft,"SELECTED GEAR DOWN AND DID NOT WORK. DISCUSS OVER RADIO WITH COMP MAINT. RECYCLE AND RESET MASTER SWITCH AND BREAKERS. STILL NO GEAR DOWN. SLOWED TO 115 KT. GEAR DOWN ON SELECTOR; PULL HYDRAULIC BREAKER; USE EMER BLOW DOWN BOTTLE PER CHECKLIST. GOT THREE GREEN LIGHTS AND GEAR UNSAFE LIGHT OUT. VISUAL CHECK GEAR BY ANOTHER COMPANY ACFT IN AREA. (20 MI WEST NOME) FLEW ON IN MADE NORMAL LNDG. SHUTTLE VALVE WAS NOT WORKING PROPERLY. PERHAPS SHOULD HAVE LIFE LIMIT CYCLE TO REPLACE? THE GEAR IS SIMPLE AND EASY TO WORK ON EMER SYSTEM. MANUFACTURER DID GOOD ENGINEERING JOB WITH ACFT.",,,,"ATX SMT GOT GEAR RED WARNING LIGHT ON APCH TO NOME. PLT WAS UABLE TO EXTEND GEAR NORMALLY AND HAD TO USE EMERGENCY EXTEND PROC.",
80118,198801,0601-1200,TVC,MI,,2,0,,,IMC,.75,,Daylight,300,,Tower TVC,Air Carrier,Medium Transport; High Wing; 2 Turboprop Eng,,2,,IFR,Passenger,,Initial Approach; Landing; Landing,,Class D TVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Carrier,Pilot Flying; First Officer,Flight Crew Instrument; Flight Crew Commercial,Flight Crew Last 90 Days 130; Flight Crew Total 3000,,,,,80118,,,Air Carrier,Captain,Flight Crew Air Transport Pilot (ATP); Flight Crew Flight Engineer,Flight Crew Last 90 Days 200; Flight Crew Total 8900,,,,,80110,Inflight Event / Encounter Weather / Turbulence; Other Unspecified,,,Person Flight Crew,,General None Reported / Taken,,Human Factors,"ON ILS 28 TVC AND UPON PASSING GWENN LOM WE RPTED GWENN INBND AS REQUESTED AND WE WERE CLRED TO LAND. AT 200' AGL CAPT CALLED RWY IN SIGHT. I WAS FLYING. WHEN I TRANSITIONED TO VISUAL REF I NOTICED THAT THE RWY LIGHTS WERE ILLUMINATED BUT THE APCH LIGHTS WERE NOT ILLUMINATED. I ASKED TVC TWR IF THE APCH LIGHTS WERE OUT OF SVC. HE SAID THAT THE LIGHTS WERE OPERATIVE BUT THE SWITCH WAS NOT TURNED ON. IT SHOULD BE NOTED THAT ATIS INFO OBSERVATION RPTED SKY PARTIALLY OBSCURED AND INDEFINITE 1500' SCATTERED ESTIMATED 3200' OVCST; VIS 2 1/2 MI VARIABLE LIGHT SNOW SHOWERS. AFTER WE PASSED THE FINAL APCH FIX AND WERE ESTABLISHED ON THE APCH TWR RPTED VIS AS A 1/2 MI VIS. AT THE TIME THAT WE MADE VISUAL CONTACT WITH THE RWY; WE NOTICED 3/4 MI VIS WHICH IS AT THE MINIMUM PUBLISHED FOR AN ILS 28 TVC WITH APCH LIGHTS INOP. IF THE VIS HAD DROPPED ANYMORE THEN WE WOULD HAVE HAD TO MISS THE APCH SIMPLY BECAUSE SOMEONE FORGOT TO TURN ON THE APCH LIGHTS.",,,,"ATCT LCL CTLR FAILED TO TURN ON RWY APCH LIGHTS WHEN VISIBILITY DROPPED BELOW THE MINIMUM FOR OPERATION WITH APCH LIGHTS OUT. FLT CREW NOTICED PROBLEM AT ARPT WX MINIMUMS FOR LNDG AND CONTINUED.",
80132,198801,1201-1800,DTW,MI,,,0,,,Mixed,,,Night,,,,Air Carrier,Light Transport; High Wing; 2 Turboprop Eng,,2,,IFR,Passenger,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Carrier,First Officer,Flight Crew Commercial; Flight Crew Flight Instructor; Flight Crew Instrument,Flight Crew Last 90 Days 255; Flight Crew Total 3100; Flight Crew Type 560,,,,,80132,,,,Captain,Flight Crew Air Transport Pilot (ATP),,,,,,,Aircraft Equipment Problem Less Severe; Other No Specific Anomaly Occurred,,,Person Flight Crew,,General None Reported / Taken,,Aircraft,"FIRST I SHOULD EXPLAIN THE WORD 'FORCED'. I NOTICED THAT THE DMI WAS A LEGAL DEFERRED MAINT ITEM AS PER THE MEL; HOWEVER THE ACFT COULD NOT BE LEGALLY FLOWN AS PER THE COMPANY'S GENERAL OPERATIONS MANUAL. I NOTIFIED DISPATCH. DISPATCH ATTEMPTED TO NOTIFY THE CHIEF PLT; HE WAS UNAVAILABLE. DISPATCH THEN NOTIFIED THE DIRECTOR OF OPERATIONS WHO HEATEDLY SAID THE ACFT COULD BE FLOWN. HE DID NOT EVEN GET THE FACTS. AT THIS POINT I KNEW THAT IF I REFUSED TO FLY THE ACFT I WOULD BE SUSPENDED OR FIRED. (IN THE PAST WEEK 2 PLTS HAD BEEN SUSPENDED FOR OVERFLYING AN ARPT DUE TO BAD WX.) NOW THAT I HAVE EXPLAINED WHAT I MEAN BY FORCED; I WILL EXPLAIN THE DMI. ACFT HAD COM #2 DEFERRED AS PER MEL 23-5 WHICH STATES A COM RADIO CAN BE DEFERRED ONLY IF THE CREW CAN MONITOR AND RECEIVE VOICE TRANSMISSIONS OVER A VHF NAVIGATIONAL FAC. THE ACR GENERAL OPERATIONS MANUAL STATES THAT ALL ACFT WILL MONITOR COMPANY FREQ WHENEVER IN FLT OR ON THE GND EXCEPT WHEN OPERATING IN CONGESTED AREAS. IT ALSO STATES THAT; 'AT NO TIME WILL THE FLT LOSE OR INTERRUPT COMS WITH ATC F0R THE PURPOSE OF COM WITH THE COMPANY.' WITH COM #2 INOP; WE COULD NOT COMPLY WITH THIS. DISPATCH WAS NOTIFIED AND I THOROUGHLY EXPLAINED THE SITUATION. THEY DID NOT EVEN CARE ABOUT THE SITUATION THEY WERE PUTTING THEMSELVES IN. WE FLEW A ROUND TRIP TO CAK OUT OF DTW. A SITUATION OCCURRED ON THE WAY TO CAK TO EMPHASIZE THE NEED FOR 2 COM RADIOS. A PAX; WHO HAD BEEN DRINKING AND WAS UPSET BECAUSE OF THE DELAYS AND CANCELLATIONS; BECAME ABUSIVE TO OUR F/A. WE WERE IN A BUSY ATC ENVIRONMENT AND COULD NOT LEAVE OUR PRESENT FREQ TO RADIO AHEAD TO OUR STATION TO HAVE POLICE STANDING BY. WE DID NOT HAVE TIME TO CALL THE COMPANY UNTIL WE WERE ON THE GND. BY THE TIME AMPLE POLICE PROTECTION HAD ARRIVED THE SITUATION HAD DEVELOPED MUCH FURTHER THAN NECESSARY.",,,,"REPORTER REQUIRED TO FLY AN ACFT THAT HE THOUGHT DID NOT MEET THE MINIMUM EQUIPMENT LIST REQUIREMENTS.",
